ID,Player_ID,Player_Name,Country,Career_Span,Matches_Played,Active_Player,Is_Allrounder,Player_Category,Innings_Batted,Total_Runs,Batting_Average,Not_Outs,Highest_Score,Centuries,Fifties,Ducks_Career,Stumpings_Total,Catches_Total,Fielding_Catches,Runs_Conceded,Wickets_Total,Bowling_Average,Economy_Rate,Strike_Rate,Five_Wickets,Ten_Wickets,Innings_Fielded
787,18627,DR Pringle,ENG,1982-1992,30,No,Yes,Bowler,50,695,15.1,4,63,0,1,6,0,10,10,2518,70,35.97,2.85,75.5,3,0,56
788,20236,DR Smith,ENG,1961-1962,5,No,Yes,Batsman,5,38,9.5,1,34,0,0,2,0,2,2,359,6,59.83,2.21,162.0,0,0,8
789,38620,DR Tuffey,NZ,2000-2010,26,No,Yes,Bowler,36,427,16.42,10,80,0,1,6,0,15,15,2445,77,31.75,3.0,63.3,2,0,46
790,5375,DRA Gehrs,AUS,1904-1911,6,No,Yes,Bowler,11,221,20.09,0,67,0,2,1,0,6,6,4,0,0.0,4.0,0.0,0,0,11
791,52204,DRE Joseph,WI,1999-1999,4,No,Yes,Bowler,7,141,20.14,0,50,0,1,0,0,10,10,0,0,0.0,0.0,0.0,0,0,8
792,51134,DS Atkinson,WI,1948-1958,22,No,Yes,Batsman,35,922,31.79,6,219,1,5,4,0,11,11,1647,47,35.04,1.9,110.6,3,0,43
793,6285,DS Lehmann,AUS,1998-2004,27,No,Yes,Batsman,42,1798,44.95,2,177,5,10,2,0,11,11,412,15,27.46,2.53,64.9,0,0,54
794,31025,DS Mohanty,IND,1997-1997,2,No,Yes,Bowler,1,0,0.0,1,0,0,0,0,0,0,0,239,4,59.75,3.33,107.5,0,0,4
795,52962,DS Smith,WI,2003-2018,43,No,Yes,Bowler,76,1760,23.78,2,108,1,8,7,0,36,36,3,0,0.0,3.0,0.0,0,0,79
796,20345,DS Steele,ENG,1975-1976,8,No,Yes,Batsman,16,673,42.06,0,106,1,5,1,0,7,7,39,2,19.5,2.65,44.0,0,0,16
797,47548,DS Tomlinson,SA,1935-1935,1,No,Yes,Bowler,1,9,9.0,0,9,0,0,0,0,0,0,38,0,0.0,3.8,0.0,0,0,1
798,48454,DS de Silva,SL,1982-1984,12,No,Yes,Batsman,22,406,21.36,3,61,0,2,3,0,5,5,1347,37,36.4,2.66,81.9,1,0,19
799,49368,DSBP Kuruppu,SL,1987-1991,4,No,Yes,Batsman,7,320,53.33,1,201,1,0,0,0,1,1,0,0,0.0,0.0,0.0,0,0,6
800,51647,DT Dewdney,WI,1955-1958,9,No,Yes,Bowler,12,17,2.42,5,5,0,0,3,0,0,0,807,21,38.42,2.95,78.1,1,0,16
801,55509,DT Hondo,ZIM,2001-2005,9,No,Yes,Bowler,15,83,9.22,6,19,0,0,1,0,5,5,774,21,36.85,3.12,70.7,1,0,13
802,45990,DT Lindsay,SA,1963-1970,19,No,Yes,Wicketkeeper,31,1130,37.66,1,182,3,5,2,2,57,55,0,0,0.0,0.0,0.0,0,0,36
803,55602,DT Mutendera,ZIM,2000-2000,1,No,Yes,Bowler,2,10,5.0,0,10,0,0,1,0,0,0,29,0,0.0,2.07,0.0,0,0,2
804,7357,DT Ring,AUS,1948-1953,13,No,Yes,Batsman,21,426,22.42,2,67,0,4,2,0,5,5,1305,35,37.28,2.58,86.4,2,0,26
805,392945,DT Tiripano,ZIM,2014-2023,16,No,Yes,Batsman,31,531,22.12,7,95,0,2,5,0,5,5,1273,26,48.96,2.83,103.5,0,0,27
806,9210,DV Brennan,ENG,1951-1951,2,No,Yes,Wicketkeeper,2,16,8.0,0,16,0,0,1,1,0,-1,0,0,0.0,0.0,0.0,0,0,4
807,44747,DV Dyer,SA,1947-1947,3,No,Yes,Bowler,6,96,16.0,0,62,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,6
808,16219,DV Lawrence,ENG,1988-1992,5,No,Yes,Bowler,6,60,10.0,0,34,0,0,0,0,0,0,676,18,37.55,3.72,60.5,1,0,10
809,20237,DV Smith,ENG,1957-1957,3,No,Yes,Batsman,4,25,8.33,1,16,0,0,1,0,0,0,97,1,97.0,2.15,270.0,0,0,6
810,22536,DVP Wright,ENG,1938-1951,34,No,Yes,Bowler,39,289,11.11,13,45,0,0,7,0,10,10,4224,108,39.11,3.11,75.3,6,1,62
811,51104,DW Allan,WI,1962-1966,5,No,Yes,Wicketkeeper,7,75,12.5,1,40,0,0,0,3,15,12,0,0,0.0,0.0,0.0,0,0,10
812,44062,DW Begbie,SA,1948-1950,5,No,Yes,Batsman,7,138,19.71,0,48,0,0,0,0,2,2,130,1,130.0,4.87,160.0,0,0,8
813,10669,DW Carr,ENG,1909-1909,1,No,Yes,Bowler,1,0,0.0,0,0,0,0,1,0,0,0,282,7,40.28,4.08,59.1,1,0,2
814,5239,DW Fleming,AUS,1994-2001,20,No,Yes,Bowler,19,305,19.06,3,71,0,2,7,0,9,9,1942,75,25.89,2.82,55.0,3,0,38
