Player,Player_ID,Career_Span,Matches_Played,Runs_Conceded,Wickets_Total,Bowling_Average,Economy_Rate,Strike_Rate,Five_Wickets,Ten_Wickets
PR Adams (SA),43919,1995-2004,45,4405,134,32.87,2.98,66,4,1
Mohammed Siraj (IND),940973,2020-2025,43,3950,133,29.69,3.53,50.4,5,0
TE Bailey (ENG),8944,1949-1959,61,3856,132,29.21,2.38,73.5,5,1
AA Mallett (AUS),6472,1968-1980,38,3940,132,29.84,2.36,75.6,6,1
DG Cork (ENG),10816,1995-2002,37,3906,131,29.81,3.05,58.6,5,0
M Dillon (WI),51651,1997-2004,38,4398,131,33.57,3.03,66.4,2,0
BL Cairns (NZ),36595,1974-1985,43,4280,130,32.92,2.41,81.7,6,1
JE Taylor (WI),53191,2003-2016,46,4480,130,34.46,3.46,59.6,4,0
DE Malcolm (ENG),16885,1989-1997,40,4748,128,37.09,3.35,66.2,5,2
W Rhodes (ENG),19376,1899-1930,58,3425,127,26.96,2.49,64.7,6,1
B Yardley (AUS),8449,1978-1983,33,3986,126,31.63,2.68,70.7,6,1
CEH Croft (WI),51485,1977-1982,27,2913,125,23.3,2.83,49.3,3,0
PH Edmonds (ENG),12486,1975-1987,51,4273,125,34.18,2.13,96.2,2,0
ST Finn (ENG),210283,2010-2016,36,3800,125,30.4,3.55,51.2,5,0
Intikhab Alam (PAK),40567,1959-1977,47,4494,125,35.95,2.57,83.7,5,2
AS Joseph (WI),670031,2016-2025,40,4150,124,33.46,3.69,54.3,2,0
EJ Chatfield (NZ),36603,1975-1989,43,3958,123,32.17,2.29,84.2,3,1
TL Goddard (SA),45234,1955-1970,41,3226,123,26.22,1.64,95.4,5,0
RM Hogg (AUS),5685,1978-1984,38,3503,123,28.47,2.75,62,6,2
A Nel (SA),46569,2001-2008,36,3919,123,31.86,3.08,62,3,1
DA Allen (ENG),8513,1960-1966,39,3779,122,30.97,2,92.5,4,0
R Illingworth (ENG),15385,1958-1973,61,3807,122,31.2,1.91,97.8,3,0
NGRP Jayasuriya (SL),422871,2022-2025,22,3828,122,31.37,3.2,58.7,12,2
MA Noble (AUS),6936,1898-1909,42,3025,121,25,2.53,59.1,9,2
Shaheen Shah Afridi (PAK),1072470,2018-2025,33,3378,121,27.91,3.16,52.9,4,1
PCR Tufnell (ENG),21611,1990-2001,42,4560,121,37.68,2.42,93.2,5,2
Mohammad Amir (PAK),290948,2009-2019,36,3627,119,30.47,2.85,64,4,0
