Player,Player_ID,Career_Span,Matches_Played,Runs_Conceded,Wickets_Total,Bowling_Average,Economy_Rate,Strike_Rate,Five_Wickets,Ten_Wickets
HI Ebeling (AUS),5119,1934-1934,1,89,3,29.66,2.87,62,0,0
FAW Freer (AUS),5325,1946-1946,1,74,3,24.66,2.77,53.3,0,0
N Gallichan (NZ),37098,1937-1937,1,113,3,37.66,2.56,88,0,0
OD Gibson (WI),51885,1995-1999,2,275,3,91.66,3.49,157.3,0,0
R Graham (SA),45242,1899-1899,2,127,3,42.33,3.17,80,0,0
GM Guard (IND),28861,1958-1960,2,182,3,60.66,2.75,132,0,0
S Guha (IND),28864,1967-1969,4,311,3,103.66,2.76,224.6,0,0
DAS Gunaratne (SL),360456,2016-2017,6,114,3,38,4.38,52,0,0
BP Gupte (IND),28878,1961-1965,3,349,3,116.33,3.08,226,0,0
RN Harvey (AUS),5603,1948-1963,79,120,3,40,1.73,138,0,0
O Henry (SA),45437,1992-1993,3,189,3,63,2.65,142.3,0,0
GB Hole (AUS),5690,1951-1955,18,126,3,42,1.89,132.6,0,0
GP Howarth (NZ),37254,1975-1985,47,271,3,90.33,2.64,204.6,0,0
J Hull (ENG),1330163,2024-2024,1,91,3,30.33,5.35,34,0,0
L Hutton (ENG),14334,1937-1955,79,232,3,77.33,5.35,86.6,0,0
JT Ikin (ENG),15381,1946-1955,18,354,3,118,3.71,190.6,0,0
Imran Farhat (PAK),40582,2001-2013,40,284,3,94.66,3.99,142.3,0,0
RC Irani (ENG),15403,1996-1999,3,112,3,37.33,3.5,64,0,0
RJD Jamshedji (IND),29674,1933-1933,1,137,3,45.66,3.91,70,0,0
DJ Johnson (IND),29712,1996-1996,2,143,3,47.66,3.57,80,0,0
TF Johnson (WI),52202,1939-1939,1,129,3,43,3.22,80,0,0
AO Jones (ENG),15534,1899-1909,12,133,3,44.33,3.5,76,0,0
CL King (WI),52290,1976-1980,9,282,3,94,2.9,194,0,0
NA Knox (ENG),15921,1907-1907,2,105,3,35,5,42,0,0
GA Lamb (ZIM),55562,2011-2011,1,141,3,47,4.4,64,0,0
DW Lawrence (ENG),641423,2021-2024,14,133,3,44.33,3.09,86,0,0
J Lewis (ENG),16281,2006-2006,1,122,3,40.66,2.97,82,0,0
SH Lewis (WI),1086206,2018-2018,2,162,3,54,4.05,80,0,0
AF Lissette (NZ),37608,1956-1956,2,124,3,41.33,2.58,96,0,0
R McLaren (SA),46393,2010-2014,2,162,3,54,3.68,88,0,0
MAWR Madurasinghe (SL),49624,1988-1992,3,172,3,57.33,2.6,132,0,0
KT Maphaka (SA),1294342,2025-2025,2,170,3,56.66,3.92,86.6,0,0
Maqsood Ahmed (PAK),41270,1952-1955,16,191,3,63.66,2.48,154,0,0
Masood Anwar (PAK),41273,1990-1990,1,102,3,34,3.8,53.6,0,0
PHKD Mendis (SL),784373,2022-2025,14,112,3,37.33,5.33,42,0,0
DJ Mitchell (NZ),381743,2019-2025,33,385,3,128.33,3.17,242.3,0,0
Mohammad Hussain (PAK),41285,1996-1998,2,87,3,29,2.9,60,0,0
WH Moule (AUS),6658,1880-1880,1,23,3,7.66,2.7,17,0,0
VM Muddiah (IND),31045,1959-1960,2,134,3,44.66,2.52,106,0,0
GH Mudie (WI),52438,1935-1935,1,40,3,13.33,1.37,58,0,0
Mufasir-ul-Haq (PAK),41309,1965-1965,1,84,3,28,2.27,74,0,0
S Mushtaq Ali (IND),31061,1934-1952,11,202,3,67.33,3.2,126,0,0
MV Narasimha Rao (IND),31795,1978-1979,4,227,3,75.66,2.94,154.3,0,0
T Natarajan (IND),802575,2021-2021,1,119,3,39.66,3.1,76.6,0,0
Niaz Ahmed (PAK),42069,1967-1969,2,94,3,31.33,1.91,98,0,0
S Nyalchand (IND),31830,1952-1952,1,97,3,32.33,1.51,128,0,0
DC Parkin (SA),46729,1892-1892,1,82,3,27.33,3.78,43.3,0,0
JH Parks (ENG),18433,1937-1937,1,36,3,12,1.71,42,0,0
COC Pearse (SA),46741,1910-1911,3,106,3,35.33,4.41,48,0,0
JB Plimsoll (SA),46765,1947-1947,1,143,3,47.66,3.62,79,0,0
AD Pougher (ENG),18585,1892-1892,1,26,3,8.66,1.48,35,0,0
MW Priest (NZ),38132,1990-1998,3,158,3,52.66,2.51,125.6,0,0
Qais Ahmad (AFG),914171,2019-2024,2,134,3,44.66,4.27,62.6,0,0
AJ Redmond (NZ),38264,2008-2013,8,80,3,26.66,4.57,35,0,0
RA Reifer (WI),450101,2017-2023,8,170,3,56.66,3.03,112,0,0
JA Rennie (ZIM),55714,1993-1997,4,293,3,97.66,2.42,241.3,0,0
PE Richardson (ENG),19386,1956-1963,34,48,3,16,2.4,40,0,0
Sajedul Islam (BAN),227454,2008-2013,3,232,3,77.33,4.21,110,0,0
MAR Samarasekera (SL),50421,1988-1991,4,104,3,34.66,3.25,64,0,0
CT Sarwate (IND),33859,1946-1951,9,374,3,124.66,3.41,219.3,0,0
Sayed Shirzad (AFG),524050,2021-2021,1,97,3,32.33,2.3,84,0,0
JED Sealy (WI),52927,1930-1939,11,94,3,31.33,3.61,52,0,0
J Sharp (ENG),20130,1909-1909,3,111,3,37,3.63,61,0,0
R Singh (IND),34060,1999-1999,1,176,3,58.66,4.4,80,0,0
TF Smailes (ENG),20213,1946-1946,1,62,3,20.66,3.1,40,0,0
JA Small (WI),52938,1928-1930,3,184,3,61.33,3.01,122,0,0
CL Smith (ENG),20233,1983-1986,8,39,3,13,2.29,34,0,0
TPB Smith (ENG),20270,1946-1947,4,319,3,106.33,3.55,179.3,0,0
EL St Hill (WI),52950,1930-1930,2,221,3,73.66,2.37,186,0,0
CT Studd (ENG),20398,1882-1883,5,98,3,32.66,1.53,128,0,0
V Subramanya (IND),34215,1965-1968,9,201,3,67,2.71,148,0,0
GR Sunderam (IND),34154,1955-1956,2,166,3,55.33,2.51,132,0,0
JP Taylor (ENG),21484,1993-1994,2,156,3,52,3.25,96,0,0
LRPL Taylor (NZ),38699,2007-2022,112,48,3,16,2.9,33,0,0
CL Townsend (ENG),21564,1899-1899,2,75,3,25,3.21,46.6,0,0
RG Twose (NZ),38624,1995-1999,16,130,3,43.33,3.69,70.3,0,0
Umar Amin (PAK),288211,2010-2010,4,63,3,21,2.86,44,0,0
JD Unadkat (IND),390484,2010-2023,4,231,3,77,2.92,158,0,0
AW White (WI),53223,1965-1965,2,152,3,50.66,1.85,163.6,0,0
LB Williams (SA),379887,2022-2022,2,105,3,35,3.4,61.6,0,0
ER Wilson (ENG),22471,1921-1921,1,36,3,12,1.75,41,0,0
Zaheer Abbas (PAK),43695,1969-1985,78,132,3,44,2.14,123.3,0,0
G Alexander (AUS),3944,1880-1884,2,93,2,46.5,3.32,84,0,0
Imtiaz Ali (WI),51102,1976-1976,1,89,2,44.5,2.61,102,0,0
Ali Hussain Rizvi (PAK),38993,1997-1997,1,72,2,36,3.89,55.5,0,0
PJ Allan (AUS),3953,1965-1965,1,83,2,41.5,2.59,96,0,0
B Andrews (NZ),36183,1973-1974,2,154,2,77,3.6,128,0,0
SA Ankola (IND),26257,1989-1989,1,128,2,64,4.26,90,0,0
Ashfaq Ahmed (PAK),39007,1993-1993,1,53,2,26.5,2.3,69,0,0
MA Atherton (ENG),8579,1989-2001,115,302,2,151,4.44,204,0,0
Babar Azam (PAK),348144,2016-2025,61,42,2,21,2.8,45,0,0
HV Baumgartner (SA),44056,1913-1913,1,99,2,49.5,3.57,83,0,0
W Bell (NZ),36295,1954-1954,2,235,2,117.5,2.87,245.5,0,0
J Benaud (AUS),4121,1972-1973,3,12,2,6,3,12,0,0
KC Bland (SA),44084,1961-1966,21,125,2,62.5,1.9,197,0,0
GJ Bonnor (AUS),4167,1880-1888,17,84,2,42,3.07,82,0,0
DG Bradman (AUS),4188,1928-1948,52,72,2,36,2.7,80,0,0
GR Breese (WI),51244,2002-2002,1,135,2,67.5,4.3,94,0,0
SJE Brown (ENG),9269,1996-1996,1,138,2,69,4.18,99,0,0
C Burke (NZ),36315,1946-1946,1,30,2,15,2.72,33,0,0
LS Butler (WI),51240,1955-1955,1,151,2,75.5,3.77,120,0,0
PH Carlson (AUS),4534,1979-1979,2,99,2,49.5,1.61,184,0,0
DB Carr (ENG),10668,1951-1952,2,140,2,70,4,105,0,0
CPS Chauhan (IND),27619,1969-1981,40,106,2,53,3.65,87,0,0
JAJ Christy (SA),44440,1929-1932,10,92,2,46,4,69,0,0
A Coningham (AUS),4611,1894-1895,1,76,2,38,2.45,93,0,0
DP Conyngham (SA),44460,1923-1923,1,103,2,51.5,1.68,183,0,0
SS Cottrell (WI),495551,2013-2014,2,196,2,98,4.26,138,0,0
DJ Cullinan (SA),44489,1993-2001,70,71,2,35.5,3.55,60,0,0
TK Curran (ENG),550235,2017-2018,2,200,2,100,3.03,198,0,0
CA Davis (WI),51641,1968-1973,15,330,2,165,2.21,447,0,0
EW Dempster (NZ),36828,1953-1954,5,219,2,109.5,2.41,272,0,0
JL Denly (ENG),12454,2019-2020,15,219,2,109.5,3.36,195,0,0
AB de Villiers (SA),44936,2004-2018,114,104,2,52,3.05,102,0,0
JA Duffy (NZ),547766,2025-2025,1,52,2,26,3.02,51.5,0,0
RWG Emery (NZ),36953,1952-1952,2,52,2,26,6.78,23,0,0
GM Ewing (ZIM),55419,2003-2005,3,260,2,130,3.66,213,0,0
Fareed Ahmad (AFG),568136,2025-2025,1,71,2,35.5,2.73,78,0,0
Fawad Alam (PAK),40250,2009-2022,19,54,2,27,3.37,48,0,0
MJ Fisher (NZ),1129635,2025-2025,1,38,2,19,3.21,35.5,0,0
KWR Fletcher (ENG),12854,1968-1982,59,193,2,96.5,4.06,142.5,0,0
AD Gaekwad (IND),28754,1974-1985,40,187,2,93.5,3.35,167,0,0
BBM Gaskin (WI),51878,1948-1948,2,158,2,79,2,237,0,0
PR George (AUS),232287,2010-2010,1,77,2,38.5,2.75,84,0,0
Gul Mohammad (IND/PAK),40329,1946-1956,9,24,2,12,1.87,38.5,0,0
Hasan Murad (BAN),990161,2025-2025,1,47,2,23.5,2.35,60,0,0
MJ Haslam (NZ),37241,1992-1995,4,245,2,122.5,2.98,246.5,0,0
F Hearne (ENG/SA),45423,1889-1896,6,40,2,20,3.87,31,0,0
M Henderson (NZ),37246,1930-1930,1,64,2,32,4.26,45,0,0
MC Henriques (AUS),5961,2013-2016,4,164,2,82,2.98,165,0,0
D Hettiarachchi (SL),49128,2001-2001,1,41,2,20.5,1.51,81,0,0
DE Hoare (AUS),5669,1961-1961,1,156,2,78,4.03,116,0,0
KAR Hodge (WI),348091,2024-2025,11,105,2,52.5,4.03,78,0,0
CK Holder (WI),914519,2020-2020,1,110,2,55,4.23,78,0,0
AJ Hollioake (ENG),14244,1997-1998,4,67,2,33.5,2.79,72,0,0
ERT Holmes (ENG),14249,1935-1935,5,76,2,38,4.22,54,0,0
MJ Horton (ENG),14273,1959-1959,2,59,2,29.5,1.48,119,0,0
AB Howard (WI),52067,1972-1972,1,140,2,70,2.25,186,0,0
GI Hume (IRE),379144,2023-2023,3,209,2,104.5,4.18,150,0,0
CC Hunte (WI),52070,1958-1967,44,110,2,55,2.44,135,0,0
Ijaz Ahmed (PAK),40551,1987-2001,60,77,2,38.5,2.56,90,0,0
Irfan Fazil (PAK),40577,2000-2000,1,65,2,32.5,8.12,24,0,0
Ismat Alam (AFG),1094444,2025-2025,2,58,2,29,3.22,54,0,0
W Jaffer (IND),29646,2000-2008,31,18,2,9,1.63,33,0,0
SMS Kaluperuma (SL),49359,1984-1988,4,124,2,62,3.1,120,0,0
FDM Karunaratne (SL),227772,2012-2025,100,202,2,101,3.88,156,0,0
Kashif Ali (PAK),1282247,2025-2025,1,39,2,19.5,3.9,30,0,0
Khalid Hasan (PAK),41038,1954-1954,1,116,2,58,5.52,63,0,0
G Kirsten (SA),45813,1993-2004,101,142,2,71,2.44,174.5,0,0
NM Kulkarni (IND),30149,1997-2001,3,332,2,166,2.69,369,0,0
F Kuys (SA),45841,1899-1899,1,31,2,15.5,3.1,30,0,0
VVS Laxman (IND),30750,1996-2012,134,126,2,63,2.33,162,0,0
E Leadbeater (ENG),16235,1951-1952,2,218,2,109,4.52,144.5,0,0
MJ Macaulay (SA),46150,1965-1965,1,73,2,36.5,1.58,138,0,0
DJ Malan (ENG),236489,2017-2022,22,131,2,65.5,3.54,111,0,0
NE Marshall (WI),52420,1955-1955,1,62,2,31,1.33,139.5,0,0
DR Martyn (AUS),6513,1992-2006,67,168,2,84,2.89,174,0,0
JR Mason (ENG),16933,1897-1898,5,149,2,74.5,2.75,162,0,0
AM Matheson (NZ),37702,1930-1931,2,136,2,68,2.89,141,0,0
K Matigimu (ZIM),696135,2025-2025,1,124,2,62,5.76,64.5,0,0
S Matsikenyeri (ZIM),55612,2003-2005,8,345,2,172.5,4.28,241.5,0,0
ADG Matthews (ENG),16942,1937-1937,1,65,2,32.5,2.16,90,0,0
PL Mhambrey (IND),30999,1996-1996,2,148,2,74,3.44,129,0,0
CH Mills (SA),46229,1892-1892,1,83,2,41.5,3.55,70,0,0
WH Milton (SA),46231,1889-1892,3,48,2,24,3.64,39.5,0,0
Miran Bakhsh (PAK),41280,1955-1955,2,115,2,57.5,1.98,174,0,0
Mohammad Wasim (1) (PAK),1185538,2022-2022,2,231,2,115.5,3.87,179,0,0
TM Moody (AUS),6628,1989-1992,8,147,2,73.5,2.04,216,0,0
TL Moreki (SA),594235,2024-2024,2,202,2,101,3.04,199,0,0
AR Morris (AUS),6644,1946-1955,46,50,2,25,2.7,55.5,0,0
S Morris (AUS),6647,1885-1885,1,73,2,36.5,3.22,68,0,0
BD Morrison (NZ),37728,1963-1963,1,129,2,64.5,4.16,93,0,0
JFM Morrison (NZ),37731,1973-1982,17,71,2,35.5,1.61,132,0,0
C Munro (NZ),232359,2013-2013,1,40,2,20,2.22,54,0,0
Nadeem Khan (PAK),42047,1993-1999,2,230,2,115,3.19,216,0,0
LE Nagel (AUS),6911,1932-1932,1,110,2,55,2.51,131,0,0
Naoomal Jaoomal (IND),31939,1932-1934,3,68,2,34,3.77,54,0,0
BP Nash (WI),6950,2008-2011,21,247,2,123.5,3.01,246,0,0
CS Nayudu (IND),31813,1934-1952,11,359,2,179.5,4.12,261,0,0
A Ndlovu (ZIM),596456,2020-2020,2,277,2,138.5,3.95,210,0,0
J Newman (NZ),38010,1932-1933,3,254,2,127,3.58,212.5,0,0
J Ormond (ENG),18265,2001-2001,2,185,2,92.5,2.98,186,0,0
AM Pai (IND),32149,1969-1969,1,31,2,15.5,1.63,57,0,0
Pankaj Singh (IND),32973,2014-2014,2,292,2,146,3.89,225,0,0
CWL Parker (ENG),18418,1921-1921,1,32,2,16,1.14,84,0,0
SR Patil (IND),32284,1955-1955,1,51,2,25.5,2.21,69,0,0
DJ Pattinson (ENG),270253,2008-2008,1,96,2,48,3.18,90.5,0,0
KK Peters (WI),52796,2014-2014,1,69,2,34.5,3.45,60,0,0
ACS Pigott (ENG),18533,1984-1984,1,75,2,37.5,4.41,51,0,0
Rajin Saleh (BAN),56074,2003-2008,24,268,2,134,3.67,219,0,0
WV Raman (IND),33058,1988-1997,11,129,2,64.5,2.22,174,0,0
DA Reeve (ENG),19364,1992-1992,3,60,2,30,2.41,74.5,0,0
N Reid (SA),46968,1921-1921,1,63,2,31.5,3,63,0,0
Riaz Afridi (PAK),42590,2004-2004,1,87,2,43.5,2.8,93,0,0
TL Richmond (ENG),19402,1921-1921,1,86,2,43,4.52,57,0,0
CA Roach (WI),52815,1928-1935,16,103,2,51.5,2.78,111,0,0
JDB Robertson (ENG),19423,1947-1952,11,58,2,29,2.52,69,0,0
RL Sanghvi (IND),34214,2001-2001,1,78,2,39,6.32,37,0,0
CJ Sayers (AUS),261230,2018-2018,1,146,2,73,2.97,147,0,0
RO Scarlett (WI),52923,1960-1960,3,209,2,104.5,1.55,402,0,0
AW Seccull (SA),47173,1896-1896,1,37,2,18.5,3.7,30,0,0
Shahid Mahboob (PAK),42644,1989-1989,1,131,2,65.5,2.67,147,0,0
Shan Masood (PAK),233901,2013-2025,44,92,2,46,3.83,72,0,0
RG Sharma (IND),34102,2013-2024,67,224,2,112,3.5,191.5,0,0
RC Shukla (IND),34020,1982-1982,1,152,2,76,3.1,147,0,0
RT Simpson (ENG),20198,1948-1955,27,22,2,11,2.93,22.5,0,0
BW Sinclair (NZ),38390,1963-1968,21,32,2,16,3.2,30,0,0
RA Sinfield (ENG),20201,1938-1938,1,123,2,61.5,1.95,189,0,0
KN Slater (AUS),7627,1959-1959,1,101,2,50.5,2.36,128,0,0
SW Sohoni (IND),34081,1946-1951,4,202,2,101,2.27,266,0,0
DS Steele (ENG),20345,1975-1976,8,39,2,19.5,2.65,44,0,0
AE Stoddart (ENG),20381,1888-1898,16,94,2,47,3.48,81,0,0
W Storer (ENG),20385,1897-1899,6,108,2,54,3.85,84,0,0
FW Tate (ENG),21457,1902-1902,1,51,2,25.5,3.18,48,0,0
DC Thomas (WI),248920,2022-2022,1,66,2,33,4.12,48,0,0
GE Tribe (AUS),7968,1946-1947,3,330,2,165,2.6,380,0,0
Wafadar Momand (AFG),973945,2018-2019,2,155,2,77.5,4.18,111,0,0
G Wijekoon (SL),50345,2005-2005,2,66,2,33,3.47,57,0,0
PK Wijetunge (SL),50856,1993-1993,1,118,2,59,2.26,156,0,0
NF Williams (ENG),22453,1990-1990,1,148,2,74,3.6,123,0,0
Yasir Ali (PAK),43670,2003-2003,1,55,2,27.5,2.75,60,0,0
Aamer Malik (PAK),38965,1987-1994,14,89,1,89,3.42,156,0,0
CJ Adams (ENG),8487,1999-2000,5,59,1,59,2.95,120,0,0
Afaq Hussain (PAK),38975,1961-1964,2,106,1,106,2.65,240,0,0
U Afzaal (ENG),8499,2001-2001,3,49,1,49,5.44,54,0,0
HH Alexander (AUS),3945,1933-1933,1,154,1,154,3.34,276,0,0
Alimuddin (PAK),38992,1954-1962,25,75,1,75,5.35,84,0,0
S Amarnath (IND),26226,1976-1978,10,5,1,5,2.72,11,0,0
MKDI Amerasinghe (SL),48139,2008-2008,1,105,1,105,4.2,150,0,0
Aminul Islam (BAN),56224,2000-2002,13,149,1,149,4.51,198,0,0
TJE Andrews (AUS),3971,1921-1926,16,116,1,116,4.46,156,0,0
Anwar Hussain (PAK),39001,1952-1952,4,29,1,29,4.83,36,0,0
Ariful Haque (BAN),270135,2018-2018,2,24,1,24,2.18,66,0,0
KLT Arthurton (WI),51110,1988-1995,33,183,1,183,2.32,473,0,0
MS Atapattu (SL),48124,1990-2007,90,24,1,24,3,48,0,0
A Athanaze (WI),1078692,2023-2025,15,79,1,79,3.03,156,0,0
Azhar Khan (PAK),39022,1980-1980,1,2,1,2,0.66,18,0,0
Azmatullah Omarzai (AFG),819429,2024-2024,1,74,1,74,3.36,132,0,0
JC Balderstone (ENG),8962,1976-1976,2,80,1,80,5,96,0,0
W Barber (ENG),8983,1935-1935,2,0,1,0,0,2,0,0
T Bavuma (SA),372116,2014-2025,64,61,1,61,3.81,96,0,0
GR Beard (AUS),4112,1980-1980,3,109,1,109,2.52,259,0,0
DW Begbie (SA),44062,1948-1950,5,130,1,130,4.87,160,0,0
IR Bell (ENG),9062,2004-2015,118,76,1,76,4.22,108,0,0
BJ Bess (WI),329087,2010-2010,1,92,1,92,7.07,78,0,0
LS Birkett (WI),51224,1930-1931,4,71,1,71,3.38,126,0,0
NE Bonner (WI),314650,2021-2022,15,82,1,82,4.31,114,0,0
RS Bopara (ENG),10582,2007-2012,13,290,1,290,4,434,0,0
MV Boucher (ICC/SA),44111,1997-2012,147,6,1,6,4.5,8,0,0
CR Brathwaite (WI),457249,2015-2016,3,242,1,242,3.55,408,0,0
D Brevis (SA),1070665,2025-2025,4,22,1,22,5.07,26,0,0
HC Brook (ENG),911707,2022-2025,30,105,1,105,4.37,144,0,0
VR Brown (NZ),36310,1985-1985,2,176,1,176,3.08,342,0,0
DG Brownlie (NZ),4493,2011-2013,14,52,1,52,4.72,66,0,0
MR Bynoe (WI),51242,1959-1967,4,5,1,5,1,30,0,0
Hon.FSG Calthorpe (ENG),10643,1930-1930,4,91,1,91,2.67,204,0,0
J Campbell (ZIM),1120613,2025-2025,1,47,1,47,3.35,84,0,0
HW Chapman (SA),44430,1914-1921,2,104,1,104,4.95,126,0,0
ME Chapple (NZ),36602,1953-1966,14,84,1,84,2.03,248,0,0
CJ Chibhabha (ZIM),55354,2016-2023,5,162,1,162,3.95,246,0,0
NR Chowdhury (IND),27659,1949-1951,2,205,1,205,2.38,516,0,0
S Christopherson (ENG),10727,1884-1884,1,69,1,69,3.04,136,0,0
NJ Contractor (IND),27667,1955-1962,31,80,1,80,2.58,186,0,0
AN Cook (ENG),11728,2006-2018,161,7,1,7,2.33,18,0,0
SJ Cook (ENG),772061,2025-2025,1,119,1,119,3.83,186,0,0
MS Crane (ENG),660889,2018-2018,1,193,1,193,4.02,288,0,0
DJ Cullen (AUS),4882,2006-2006,1,54,1,54,3.85,84,0,0
HT Dani (IND),27988,1952-1952,1,19,1,19,1.9,60,0,0
GT Dowling (NZ),36837,1961-1972,39,19,1,19,3.16,36,0,0
R Dravid (ICC/IND),28114,1996-2012,164,39,1,39,1.95,120,0,0
JP Duminy (SA),44731,1927-1929,3,39,1,39,3.9,60,0,0
JF du Toit (SA),44743,1892-1892,1,47,1,47,3.31,85,0,0
KH Eastwood (AUS),5117,1971-1971,1,21,1,21,3.15,40,0,0
Farooq Hamid (PAK),40089,1964-1964,1,107,1,107,3.48,184,0,0
KADM Fernando (SL),48821,2003-2003,2,107,1,107,5.09,126,0,0
FE Fisher (NZ),36998,1953-1953,1,78,1,78,2.29,204,0,0
MD Fisher (ENG),639080,2022-2022,1,71,1,71,2.62,162,0,0
FGJ Ford (ENG),12866,1894-1895,5,129,1,129,3.79,204,0,0
WHB Frank (SA),45076,1896-1896,1,52,1,52,5.37,58,0,0
DL Freeman (NZ),37005,1933-1933,2,169,1,169,4.22,240,0,0
D Ganga (WI),51872,1998-2008,48,106,1,106,3.41,186,0,0
SM Gavaskar (IND),28794,1971-1987,125,206,1,206,3.25,380,0,0
SR Gillespie (NZ),37102,1986-1986,1,79,1,79,2.92,162,0,0
G Gladstone (WI),51888,1930-1930,1,189,1,189,3.78,300,0,0
GK Glover (SA),45232,1896-1896,1,28,1,28,2.58,65,0,0
MJ Gopalan (IND),28850,1934-1934,1,39,1,39,2.05,114,0,0
CD Gopinath (IND),28855,1951-1960,8,11,1,11,1.37,48,0,0
DI Gower (ENG),13418,1978-1992,117,20,1,20,3.33,36,0,0
TW Graveney (ENG),13434,1951-1969,79,167,1,167,3.85,260,0,0
MD Gunathilaka (SL),345821,2017-2018,8,111,1,111,3.36,198,0,0
GG Hall (SA),45397,1965-1965,1,94,1,94,3.03,186,0,0
F Hand (IRE),1099225,2023-2023,1,113,1,113,5.94,114,0,0
Hanif Mohammad (PAK),40373,1952-1969,55,95,1,95,2.76,206,0,0
MA Hanley (SA),45408,1949-1949,1,88,1,88,2.27,232,0,0
MS Hardikar (IND),29268,1958-1958,2,55,1,55,3.05,108,0,0
Haris Rauf (PAK),1161606,2022-2022,1,78,1,78,6,78,0,0
GPD Hartigan (SA),45415,1912-1914,5,141,1,141,3.35,252,0,0
AEV Hartkopf (AUS),5591,1925-1925,1,134,1,134,3.35,240,0,0
JC Hartley (ENG),14081,1906-1906,2,115,1,115,3.59,192,0,0
JW Hastings (AUS),228622,2012-2012,1,153,1,153,3.92,234,0,0
EG Hayes (ENG),14104,1906-1912,5,52,1,52,3.46,90,0,0
DL Haynes (WI),52047,1978-1994,116,8,1,8,2.66,18,0,0
EH Hendren (ENG),14158,1920-1935,51,31,1,31,3.95,47,0,0
CFW Hime (SA),45442,1896-1896,1,31,1,31,3.38,55,0,0
JB Hobbs (ENG),14225,1908-1930,61,165,1,165,2.63,376,0,0
JKC Holt (WI),52186,1954-1959,17,20,1,20,4,30,0,0
DW Hookes (AUS),5696,1977-1985,23,41,1,41,2.56,96,0,0
AN Hornby (ENG),14267,1879-1884,3,0,1,0,0,28,0,0
KL Hutchings (ENG),14327,1907-1909,7,81,1,81,5.4,90,0,0
Ibrahim Zadran (AFG),921509,2019-2025,8,13,1,13,6.5,12,0,0
Iftikhar Ahmed (PAK),480603,2016-2022,4,161,1,161,4.68,206,0,0
AS Jaggernauth (WI),52277,2008-2008,1,96,1,96,4.17,138,0,0
JA Jameson (ENG),15468,1971-1974,4,17,1,17,2.42,42,0,0
Javed Ahmadi (AFG),308235,2018-2021,3,69,1,69,2.76,150,0,0
AH Jones (NZ),37491,1987-1995,39,194,1,194,3.54,328,0,0
DM Jones (AUS),6044,1984-1992,52,64,1,64,1.93,198,0,0
LM Jongwe (ZIM),541224,2021-2021,1,68,1,68,4,102,0,0
BR Jurangpathy (SL),49214,1985-1986,2,93,1,93,3.72,150,0,0
A Kamboj (IND),1175428,2025-2025,1,89,1,89,4.94,108,0,0
TP Kamungozi (ZIM),235521,2014-2014,1,58,1,58,2.23,156,0,0
C Karunaratne (SL),623695,2019-2019,1,148,1,148,5.69,156,0,0
Khalid Ibadulla (PAK),41039,1964-1967,4,99,1,99,1.76,336,0,0
A Khan (ENG),23911,2009-2009,1,122,1,122,4.2,174,0,0
JH King (ENG),15889,1909-1909,1,99,1,99,3.66,162,0,0
SMH Kirmani (IND),30116,1976-1986,88,13,1,13,4.1,19,0,0
CM Kuggeleijn (NZ),37532,1988-1988,2,67,1,67,4.14,97,0,0
CKB Kulasekara (SL),49477,2011-2011,1,80,1,80,2.85,168,0,0
AJ Lamb (ENG),16178,1982-1992,79,23,1,23,4.6,30,0,0
CB Lambert (WI),25635,1991-1998,5,5,1,5,3,10,0,0
PD Lashley (WI),52340,1960-1966,4,1,1,1,0.33,18,0,0
AFA Lilley (ENG),16293,1896-1909,35,23,1,23,5.52,25,0,0
BW Luckhurst (ENG),16370,1970-1974,21,32,1,32,3.36,57,0,0
BB McCullum (NZ),37737,2004-2016,101,88,1,88,3.01,175,0,0
HM McGirr (NZ),37704,1930-1930,2,115,1,115,3.83,180,0,0
AJ McKay (NZ),38005,2010-2010,1,120,1,120,3.87,186,0,0
CJ McKay (AUS),6903,2009-2009,1,101,1,101,3.6,168,0,0
JW McLaren (AUS),6581,1912-1912,1,70,1,70,2.91,144,0,0
PG McShane (AUS),6596,1885-1888,3,48,1,48,2.66,108,0,0
CA McWatt (WI),52432,1954-1955,6,16,1,16,4,24,0,0
VL Manjrekar (IND),30936,1951-1965,55,44,1,44,1.29,204,0,0
LA Markham (SA),46173,1949-1949,1,72,1,72,4.15,104,0,0
JW Martin (ENG),16921,1947-1947,1,129,1,129,2.86,270,0,0
W Mead (ENG),16995,1899-1899,1,91,1,91,2.06,265,0,0
BKG Mendis (SL),629074,2015-2025,73,118,1,118,5.36,132,0,0
JM Mennie (AUS),439288,2016-2016,1,85,1,85,3.03,168,0,0
SF Mire (ZIM),290462,2017-2017,2,32,1,32,2.28,84,0,0
JA Morkel (SA),46248,2009-2009,1,132,1,132,4.12,192,0,0
Mujeeb Ur Rahman (AFG),974109,2018-2018,1,75,1,75,5,90,0,0
BAG Murray (NZ),37734,1968-1971,13,0,1,0,0,6,0,0
W Mwayenga (ZIM),55640,2005-2005,1,79,1,79,3.76,126,0,0
Naeem Islam (BAN),56054,2008-2012,8,303,1,303,3.16,574,0,0
SV Nayak (IND),31808,1982-1982,2,132,1,132,3.42,231,0,0
N Ncube (ZIM),333002,2011-2011,1,121,1,121,3.45,210,0,0
JM Neblett (WI),52632,1935-1935,1,75,1,75,2.08,216,0,0
J O'Connor (ENG),18252,1929-1930,4,72,1,72,2.66,162,0,0
AH Omarshah (ZIM),55680,1992-1996,3,125,1,125,4.03,186,0,0
